City_Name,City_Code,Date,Cumulative_verified_cases,Cumulated_recovered,Cumulated_deaths,Cumulated_number_of_tests,Cumulated_number_of_diagnostic_tests,Cumulated_vaccinated,Active_cases,UID,population_60+,total_pop,vaccination_60+,name_h,name_e,Index,Rank,"Active cases per 10,000 people - 12/1/21",60+ Vaccination [%] - 12/1/21,VNR,weight
אבו גוש,472,2021-01-12,631,478,1,10056,9719,957,152,472,724,7698,350.0,אבו גוש,ABU GHOSH,-0.783,65.0,197.45388412574692,48.34254143646409,4.084474631629736,0.05408025839009644
אבו סנאן,473,2021-01-12,864,747,1,12506,11818,1065,116,473,1446,14099,461.0,אבו סנאן,ABU SINAN,-0.792,63.0,82.27533867650189,31.88105117565698,2.580697174104593,0.10801112380121472
אבן יהודה,182,2021-01-12,380,323,1,16875,16395,3167,56,182,2519,13826,1757.0,אבן יהודה,EVEN YEHUDA,1.499,243.0,40.503399392449005,69.74990075426757,0.5806947243573081,0.1881604570230013
אום אל-פחם,2710,2021-01-12,4246,3822,36,41749,39343,4788,388,2710,3960,56109,1681.0,אום אל-פחם,UMM AL-FAHM,-1.413,17.0,69.15111657666328,42.44949494949495,1.62902094969415,0.2957980983767706
אופקים,31,2021-01-12,2089,1865,1,37716,36682,4449,223,31,3958,30662,1906.0,אופקים,OFAQIM,-0.703,73.0,72.72845867849456,48.155634158666,1.5102793255481712,0.2956487053977924
אור יהודה,2400,2021-01-12,2441,2186,22,41394,38856,6291,233,2400,6743,36813,3941.0,אור יהודה,OR YEHUDA,0.12,136.0,63.29285850107299,58.445795639922885,1.0829326183017893,0.50367842862489
אור עקיבא,1020,2021-01-12,947,795,1,19932,19272,3255,151,1020,3768,18972,1714.0,אור עקיבא,OR AQIVA,0.0,127.0,79.5909761754164,45.48832271762208,1.7497012732145214,0.2814563723948666
אורנית,3760,2021-01-12,224,204,1,9116,8969,1888,19,3760,1160,8955,951.0,אורנית,ORANIT,1.312,230.0,21.21719709659408,81.98275862068965,0.2588007216829562,0.08664792780733684
אזור,565,2021-01-12,655,577,1,13754,13211,2339,77,565,2577,12957,1548.0,אזור,AZOR,0.593,177.0,59.427336574824416,60.06984866123399,0.9893039170111274,0.19249285341336814
אילת,2600,2021-01-12,1248,1094,1,93015,91719,10819,153,2600,8043,52299,5697.0,אילת,ELAT,0.247,148.0,29.254861469626572,70.83177918687056,0.4130188709850914,0.6007838649606985
אכסאל,478,2021-01-12,1050,961,1,13977,13458,1742,88,478,1094,14784,610.0,אכסאל,IKSAL,-0.853,58.0,59.523809523809526,55.758683729433265,1.0675253708040595,0.08171795950105733
אליכין,41,2021-01-12,125,111,1,3239,3174,638,13,41,584,3415,372.0,אליכין,ELYAKHIN,0.42,162.0,38.067349926793554,63.6986301369863,0.5976164612163289,0.04362274986162475
אלעד,1309,2021-01-12,7719,6359,1,52464,49139,1731,1359,1309,1246,48763,515.0,אלעד,EL'AD,-1.38,19.0,278.6949121259972,41.3322632423756,6.742793407941601,0.09307182590339802
אלפי מנשה,3750,2021-01-12,193,166,1,7605,7445,1581,26,3750,1151,7952,801.0,אלפי מנשה,ALFE MENASHE,1.192,222.0,32.69617706237425,69.59165942658558,0.4698289612833053,0.08597565940193509
אלקנה,3560,2021-01-12,157,120,1,6086,5983,1044,36,3560,675,3838,549.0,אלקנה,ELQANA,0.964,205.0,93.79885356956748,81.33333333333333,1.1532645930684526,0.05042013040513135
אעבלין,529,2021-01-12,894,775,1,12170,11847,1315,118,529,1298,13305,547.0,אעבלין,I'BILLIN,-0.771,68.0,88.68846298384067,42.14175654853621,2.1045269644063107,0.09695604335683036
אפרת,3650,2021-01-12,624,489,0,19574,19206,2244,135,3650,1121,10806,816.0,אפרת,EFRAT,0.557,171.0,124.9305941143809,72.7921498661909,1.716264656889963,0.08373476471726259
אריאל,3570,2021-01-12,554,456,1,19775,19295,3470,97,3570,3519,20540,1880.0,אריאל,ARI'EL,0.36,158.0,47.22492697176242,53.42426825802785,0.88396020220017,0.26285694651208474
אשדוד,70,2021-01-12,16939,14960,116,266234,255345,37822,1863,70,44391,225939,20105.0,אשדוד,ASHDOD,-0.131,112.0,82.45588411031295,45.29071208127773,1.8205914705500634,3.315851864909905
אשקלון,7100,2021-01-12,6088,5288,59,149140,143918,27883,741,7100,30206,144073,15321.0,אשקלון,ASHQELON,-0.014,125.0,51.43226003484345,50.721710918360586,1.0140087765893098,2.2562821615072557
באקה אל-גרביה,6000,2021-01-12,1924,1771,21,25005,23269,4371,132,6000,2494,29950,1421.0,באקה אל-גרביה,BAQA AL-GHARBIYYE,-0.702,74.0,44.073455759599334,56.97674418604651,0.7735341214950088,0.18629304478577421
באר יעקב,2530,2021-01-12,1300,1155,1,27512,26721,4034,144,2530,2902,27768,1838.0,באר יעקב,BE'ER YA'AQOV,0.762,192.0,51.85825410544511,63.33563059958649,0.8187848390315654,0.21676921249732026
באר שבע,9000,2021-01-12,8647,7472,71,256509,248422,46585,1104,9000,44496,209687,22287.0,באר שבע,BE'ER SHEVA,0.039,130.0,52.64990199678569,50.08764832793959,1.0511553996719953,3.323694996306258
בועיינה-נוג'ידאת,482,2021-01-12,523,478,1,9259,9066,816,44,482,624,9812,268.0,בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT,-1.17,31.0,44.843049327354265,42.94871794871795,1.0441068201592933,0.04661060944118809
בוקעאתא,4001,2021-01-12,875,851,1,5432,5247,767,23,4001,672,6610,258.0,בוקעאתא,BUQ'ATA,-1.214,25.0,34.79576399394856,38.392857142857146,0.906308271470288,0.050196040936664105
ביר אל-מכסור,998,2021-01-12,276,225,1,5411,5206,1016,50,998,747,9522,409.0,ביר אל-מכסור,BIR EL-MAKSUR,-1.209,26.0,52.509976895610166,54.75234270414994,0.9590452992914619,0.055798277648345364
בית אל,3574,2021-01-12,234,180,1,9437,9300,978,53,3574,441,5973,401.0,בית אל,BET EL,-0.599,80.0,88.73263016909425,90.9297052154195,0.9758376534805627,0.03294115186468582
בית אריה,3652,2021-01-12,153,128,0,4789,4666,975,25,3652,594,5253,426.0,בית אריה,BET ARYE,0.886,203.0,47.59185227489054,71.71717171717171,0.6636047007343893,0.04436971475651559
בית ג'ן,480,2021-01-12,1130,1008,1,16800,16219,1077,121,480,1286,12001,420.0,בית ג'ן,BEIT JANN,-0.543,83.0,100.8249312557287,32.65940902021773,3.0871633713063598,0.09605968548296136
בית דגן,466,2021-01-12,268,222,1,5952,5762,1273,45,466,1256,7285,710.0,בית דגן,BET DAGAN,0.633,179.0,61.770761839396016,56.52866242038217,1.0927334770462167,0.09381879079828886
בית שאן,9200,2021-01-12,1042,895,1,16909,16181,3551,146,9200,3042,18464,2065.0,בית שאן,BET SHE'AN,-0.204,105.0,79.07279029462738,67.88297172912557,1.1648398454056006,0.22722672102579197
בית שמש,2610,2021-01-12,12234,9812,19,112816,107835,10163,2403,2610,7152,124957,3799.0,בית שמש,BET SHEMESH,-1.338,21.0,192.30615331674096,53.11800894854586,3.620356958466258,0.5342292928259251
ביתר עילית,3780,2021-01-12,8816,7167,1,51513,48602,2136,1648,3780,1060,59270,373.0,ביתר עילית,BETAR ILLIT,-1.908,11.0,278.0496035093639,35.18867924528302,7.901677740480583,0.07917827885842849
בני ברק,6100,2021-01-12,33380,29076,156,257759,235076,14658,4148,6100,18711,204639,8781.0,בני ברק,BENE BERAQ,-1.392,18.0,202.6984103714346,46.92961359628026,4.319200497050351,1.397646014830241
"בני עי""ש",1066,2021-01-12,214,183,1,8571,8355,1038,30,1066,1792,6978,616.0,"בני עי""ש",BENE AYISH,0.132,138.0,42.992261392949274,34.375,1.250683967794888,0.1338561091644376
