UID,total_pop,pop_4-0,pop_9-5,pop_14-10,pop_19-15,pop_24-20,pop_29-25,pop_34-30,pop_39-35,pop_44-40,pop_49-45,pop_54-50,pop_59-55,pop_64-60,pop_69-65,pop_74-70,pop_79-75,pop_84-80,pop_+85
3000,936425,116731,103618,93117,88676,82568,71915,59361,51784,44726,39906,34786,32747,29911,26812,22330,13874,11594,11970
70,225939,21352,20376,18129,16962,16176,13641,13095,12832,13050,12929,11603,11402,10884,10092,9131,5309,5199,3776
9000,209687,17990,16209,14202,13136,14913,15069,15024,13587,11897,11273,10642,11247,11625,10706,8507,4784,4914,3960
6100,204639,34701,28025,22306,21449,17450,15001,12924,10609,7302,6161,5201,4803,4808,4714,3820,1897,1598,1874
4000,285316,20466,19564,17167,15925,18577,19073,19524,18166,17158,16410,14746,14607,15379,16224,15825,8613,8769,9123
7400,221353,19015,18354,15826,13733,13130,13225,13600,14495,14326,12839,10684,10748,11342,12089,11200,6198,5432,5118
7900,247956,22078,22437,19254,16595,13634,13270,14953,16920,17860,16481,12588,11068,10925,12368,11348,5974,5332,4871
8300,254384,18617,17403,15817,16432,16324,16712,16564,16175,16780,16435,14194,13892,14627,15209,12957,6210,5232,4803
5000,460613,34568,27938,22805,19498,22841,41328,52411,44389,34388,28436,21605,20123,20037,20727,18578,10579,9662,10700
7100,144073,13402,12011,9952,8721,9159,9314,10174,9882,8467,7823,7363,7599,7861,7186,6016,3283,3275,2585
2610,124957,21729,19423,16016,11757,8957,8884,7765,6733,5610,4556,3547,2829,2237,1749,1300,766,610,490
6200,129013,8390,7955,6905,6361,6633,7027,8554,9270,8633,8305,7120,7232,7640,8476,7887,4429,4437,3760
6600,196282,15343,15220,13637,12110,11271,10847,12404,14432,14162,12700,10107,9695,9804,10566,9430,5529,4892,4135
6900,101432,8106,8716,7309,6263,5110,4695,5397,7132,7925,6747,4929,4649,5062,6200,5682,2766,2255,2485
8400,143904,14247,14067,11251,8672,7753,8113,9374,10581,10310,8559,6425,5857,6302,6997,6562,3335,2837,2663
8600,163480,12137,10399,9130,8089,8903,11760,14173,13531,11664,10455,8618,7988,7772,7946,7091,4506,4180,5138
2600,52299,3872,3889,3454,3371,4092,4147,4091,3764,3707,3611,3322,2937,2560,2130,1570,847,603,333
3780,59270,11839,10703,9240,6034,4644,3394,3247,2996,2571,1783,1048,709,422,264,192,96,46,40
6300,60644,5015,4285,3513,2831,2658,4119,5703,5545,4759,4212,3012,2491,2524,2499,2508,1541,1511,1917
9700,63175,5177,5626,5319,4460,3829,2987,3230,4099,4933,4794,3744,3163,3027,3066,2582,1296,904,938
6400,97470,6993,7041,6330,5586,5463,5524,6260,7102,6992,6538,5038,4585,5083,5889,5465,3012,2370,2197
6500,97335,8526,7770,6739,6214,6101,6185,6618,6841,6254,5747,5093,4993,5200,5051,4134,2143,2002,1726
7000,77223,8437,7775,6315,5960,5371,5333,5119,4547,4255,4062,3603,3376,3339,3107,2608,1403,1438,1173
1200,93277,6706,9396,10702,9340,6653,3970,3791,5265,7236,8374,6209,4407,3514,2871,2150,1186,933,574
3797,76374,16436,15382,11826,7353,4794,4322,4755,4100,3342,1784,806,511,266,243,214,123,66,49
9100,58096,4267,4163,3995,3877,3385,3423,3578,3341,3853,3836,3513,3249,3353,3370,2959,1489,1339,1107
7200,50351,3911,4872,4978,3873,2840,2097,2346,3363,4412,4116,2728,2135,2109,2305,1958,877,697,733
7700,54250,5733,4433,3696,3423,3760,4271,3788,3331,3036,2718,2491,2743,2986,2831,2115,1057,1026,812
6800,59030,4899,4566,3976,3651,3635,3951,4061,3942,3527,3432,3114,3247,3329,3307,2823,1394,1219,954
2630,57105,6704,5420,4256,3803,4148,4480,4083,3524,2775,2537,2517,2802,2952,2418,1915,965,975,830
2640,61801,7410,5815,4274,3800,4153,4269,5081,4915,4038,3216,3327,3420,2937,2160,1138,755,599,493
8500,76246,7481,7002,5834,5289,5331,5526,5191,5275,4836,4115,3709,3692,3646,3325,2343,1416,1190,1043
8700,75421,5312,5634,5942,5443,5124,3887,3647,4040,4719,5164,4391,3913,4086,4575,4234,2199,1535,1579
31,30662,4180,3260,2450,2122,2431,2637,2390,1792,1409,1369,1306,1359,1192,972,716,416,398,264
2400,36813,3361,2928,2584,2599,2600,2589,2513,2667,2264,2101,1882,1983,1926,1791,1229,713,547,537
1309,48763,7272,8064,8141,6457,3382,2133,2286,3275,3095,1701,1019,694,426,372,226,121,63,38
3570,20540,1584,1484,1289,1050,2665,2020,1403,1214,1110,1038,1032,1133,1062,807,714,324,383,229
2530,27768,3939,3551,2120,1807,1531,1355,2357,2816,2156,1458,938,838,878,906,594,241,145,138
681,26578,2577,2708,2568,1968,1716,1781,1439,1788,1820,1698,1251,969,960,1029,955,512,446,392
2550,28313,2068,2818,3087,2978,1902,1324,1209,1599,2313,2264,1610,1074,975,896,752,485,446,513
166,23869,1653,2080,2554,2389,2055,1433,1053,1186,1775,1972,1700,1303,943,690,525,257,162,138
229,20398,1899,2089,1756,1481,1078,799,987,1369,1575,1548,1038,850,890,990,814,480,430,326
2200,34500,2987,2742,2533,2726,2622,2530,2274,2133,1976,2019,1988,1800,1760,1525,1203,688,592,402
9300,23206,1695,2041,2268,2153,1776,1131,984,1173,1451,1669,1574,1366,1201,990,745,382,348,257
6700,44779,4816,3777,3301,3301,3227,3560,2744,2389,2342,2245,2218,2322,2447,2188,1583,894,790,635
2100,23112,2236,1778,1397,1260,1367,1565,1878,1832,1467,1199,1108,1250,1392,1237,863,489,424,372
2660,47585,5465,5009,3522,2793,2709,2887,3518,3886,3286,2598,1973,2115,2386,2404,1588,618,410,416
9400,29928,2326,2376,2287,2163,1959,1564,1649,1710,2077,2083,1769,1513,1593,1766,1380,723,508,482
240,23796,2039,2092,2050,2029,1636,1259,1331,1572,1658,1871,1500,1142,1025,946,732,387,322,206
168,24778,2275,2421,2384,1887,1502,1443,1530,1757,2035,1799,1298,1108,1031,984,695,306,167,155
1139,46252,3149,3261,3205,3154,3129,2747,2761,2769,2868,2769,2423,2597,2881,2908,2460,1112,1171,888
1015,24052,1837,1810,1824,1697,1723,1548,1456,1471,1376,1348,1370,1339,1387,1357,1154,670,406,277
874,25675,2241,2087,1997,2170,1753,1680,1561,1491,1453,1417,1309,1354,1430,1270,1077,479,522,384
3616,38155,3462,3457,3468,3225,3425,2527,2204,2120,2151,2231,2172,1999,1906,1398,1020,550,492,346
1063,21836,1637,1746,1621,1514,1630,1458,1332,1193,1335,1347,1286,1252,1284,1114,823,406,499,359
1061,41734,3218,2816,2530,2651,2684,2781,2685,2361,2534,2446,2379,2415,2475,2295,2186,1087,1239,952
2500,24148,1657,1560,1408,1352,1530,1715,1713,1654,1589,1406,1335,1417,1502,1345,1228,615,634,486
246,37542,5584,4657,3698,2964,2970,3068,2826,2169,1838,1544,1440,1301,1111,874,555,358,349,236
7600,49380,4012,3911,3442,3688,3344,3562,3435,3231,2931,2686,2674,2798,2781,2472,1807,958,946,701
2560,26756,3413,2542,1759,1765,2102,2039,1522,1258,1229,1343,1226,1232,1275,1182,1139,624,675,429
7800,43011,4016,4413,3912,2833,2410,2049,2478,3137,3479,3108,2355,1966,1917,1733,1403,713,610,478
8000,36094,4848,4227,3726,3211,3041,2753,2066,1568,1457,1379,1396,1421,1488,1194,870,485,537,427
195,22683,1759,2167,2227,1939,1759,1155,979,1316,1681,1810,1619,1418,969,698,505,253,225,203
2620,40409,3170,3980,3611,2713,1999,1581,2014,3053,3637,3208,2135,1679,1597,1807,1712,982,819,709
9500,40231,2936,2872,2531,2250,2202,2219,2637,2835,2698,2472,2024,2006,2345,2624,2415,1148,1086,930
