City_Name,16-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,missing_data
אבו ג'ווייעד (שבט),,< 15,,< 15,< 15,< 15,< 15,,< 15,
אבו גוש,< 15,93,144,146,186,236,89,24,< 15,< 15
אבו סנאן,< 15,124,141,146,167,274,149,37,< 15,
אבו קורינאת (שבט),,,< 15,,,< 15,< 15,< 15,,
אבו רובייעה (שבט),,< 15,,< 15,< 15,< 15,,,,
אבו רוקייק (שבט),< 15,< 15,< 15,< 15,< 15,< 15,,,,
אבו תלול,,< 15,< 15,< 15,< 15,< 15,,,,
אבטין,,23,20,30,62,73,32,15,,
אבן יהודה,25,161,131,536,517,762,647,265,83,< 15
אום אל-פחם,33,541,630,714,998,1074,464,127,16,< 15
אום בטין,< 15,< 15,,< 15,< 15,< 15,< 15,,,
אופקים,44,297,580,543,687,1045,548,264,49,< 15
אור יהודה,25,247,329,575,980,1930,1315,553,143,< 15
אור עקיבא,18,112,244,355,454,861,579,228,46,
אורנית,17,108,96,306,376,546,348,56,< 15,
אזור,< 15,70,140,195,302,716,607,186,39,< 15
אחוזת ברק,< 15,38,45,157,175,126,73,17,< 15,
אטרש (שבט),,< 15,< 15,,< 15,< 15,,,,
אילת,62,372,585,1209,2546,3030,1955,638,74,
אכסאל,< 15,164,224,286,409,362,201,46,< 15,
אל סייד,,< 15,< 15,< 15,< 15,,< 15,,,
אלון שבות,20,111,73,114,132,127,113,45,< 15,
אליכין,< 15,28,35,66,125,200,107,50,15,
אלעד,48,154,230,473,284,274,199,41,< 15,
אלעזר,25,49,43,127,115,55,30,18,< 15,
אלפי מנשה,15,72,93,266,286,459,303,38,< 15,< 15
אלקנה,21,68,92,161,137,224,257,67,< 15,
אעבלין,< 15,123,178,216,219,317,191,38,< 15,< 15
אעצם (שבט),,< 15,,< 15,< 15,< 15,< 15,,,< 15
אפרת,49,246,372,330,389,515,217,69,15,
אריאל,27,130,209,332,602,1019,579,245,37,< 15
אשדוד,220,1555,2354,4268,5971,8816,6968,3605,716,33
אשקלון,204,1079,2110,3069,3982,7150,5082,2513,576,< 15
באקה אל-גרביה,46,529,543,729,898,867,422,131,< 15,< 15
באר יעקב,< 15,130,501,813,614,1055,650,117,16,< 15
באר שבע,463,2818,4193,5344,6944,10551,7146,3752,838,139
בועיינה-נוג'ידאת,< 15,111,129,124,147,142,102,23,< 15,
בוקעאתא,< 15,69,96,139,170,166,65,26,< 15,
ביר אל-מכסור,< 15,78,162,149,178,253,109,46,< 15,
ביר הדאג',,,< 15,,< 15,,,,,
בית אל,28,124,89,120,189,219,147,34,< 15,
בית אריה,15,62,59,161,241,245,148,32,< 15,< 15
בית ג'ן,< 15,110,168,195,165,245,108,66,< 15,
בית דגן,< 15,53,55,142,281,357,238,95,20,
בית חשמונאי,< 15,25,24,133,117,126,47,< 15,,< 15
בית יצחק-שער חפר,< 15,27,36,94,111,171,162,66,21,
בית שאן,< 15,96,171,345,708,1183,626,213,43,
בית שמש,292,1061,1173,1664,1755,2029,1171,512,87,< 15
ביתר עילית,95,436,408,468,339,227,109,36,< 15,
בני ברק,154,1030,1293,1292,1882,3695,3262,1381,443,< 15
"בני עי""ש",< 15,31,58,75,146,301,155,120,40,< 15
בנימינה-גבעת עדה,34,126,176,543,537,571,434,129,28,< 15
"בסמ""ה",< 15,116,129,113,121,143,69,17,< 15,
בסמת טבעון,< 15,46,72,101,88,111,64,< 15,< 15,
בענה,< 15,81,98,71,77,95,58,16,< 15,
ברכה,< 15,32,46,45,27,31,20,< 15,< 15,
ברקת,< 15,< 15,< 15,< 15,24,36,25,< 15,< 15,
בת חפר,18,101,52,184,517,238,97,35,< 15,< 15
בת ים,60,538,876,1599,2346,6525,7042,4003,971,
גבע בנימין,< 15,46,41,90,96,121,53,18,< 15,
גבעת אבני,< 15,42,25,82,210,211,93,22,< 15,
גבעת ברנר,< 15,31,41,147,131,98,141,62,21,
גבעת זאב,27,205,302,291,411,781,444,145,23,< 15
גבעת שמואל,62,385,421,821,863,1216,1139,506,103,< 15
גבעתיים,52,481,1049,1587,1880,2908,2847,1829,719,< 15
ג'דיידה-מכר,< 15,211,219,238,301,457,201,61,< 15,< 15
גדרה,44,205,267,1013,975,1036,780,438,131,16
ג'ולס,,55,60,83,96,124,59,24,< 15,
ג'לג'וליה,< 15,44,69,66,94,99,63,27,,< 15
גן יבנה,54,264,255,810,1059,988,558,173,20,< 15
גן נר,< 15,54,31,145,264,229,75,17,< 15,
גני מודיעין,,< 15,18,17,15,30,< 15,< 15,< 15,
גני תקווה,28,181,315,669,797,1238,1155,570,102,< 15
ג'סר א-זרקא,< 15,186,278,262,112,138,60,< 15,< 15,< 15
ג'ש (גוש חלב),< 15,67,86,86,150,145,82,59,< 15,
ג'ת,23,202,243,273,326,356,154,61,< 15,< 15
דאלית אל-כרמל,49,209,319,474,589,630,308,73,< 15,
דבוריה,23,152,205,204,248,213,125,33,< 15,
דייר אל-אסד,< 15,186,185,185,239,275,131,43,< 15,
דייר חנא,< 15,148,175,206,199,277,163,54,< 15,
דימונה,176,577,961,1392,1637,1922,1226,487,76,
הוד השרון,118,638,839,2299,2673,3810,3109,1124,345,34
הוואשלה (שבט),,< 15,< 15,,< 15,,< 15,,,
הושעיה,16,61,40,130,129,161,32,< 15,< 15,
הר אדר,19,89,46,180,287,236,234,41,< 15,
הרצליה,123,869,1345,2563,3128,6272,6667,2837,738,26
זכרון יעקב,63,283,264,699,1015,1418,903,352,75,< 15
זמר,15,108,99,103,126,182,95,32,< 15,< 15
זרזיר,< 15,53,75,103,167,109,70,19,< 15,< 15
חדרה,165,767,1376,2260,2762,4963,4020,1776,374,< 15
חולון,135,1055,1762,3400,4764,10333,10116,5276,1208,< 15
חורה,< 15,70,70,70,93,53,36,< 15,< 15,
חורפיש,< 15,53,79,91,90,99,45,32,< 15,
חיפה,332,2532,4514,6492,8534,16175,16187,8825,2748,43
חספין,< 15,32,27,59,60,47,32,< 15,< 15,
חצור הגלילית,18,133,210,321,372,628,339,137,22,
חריש,< 15,69,217,151,123,218,134,21,< 15,< 15
חשמונאים,< 15,88,87,66,186,232,113,28,< 15,
טבריה,64,408,627,1191,1738,2683,1683,757,121,
טובא-זנגריה,,20,46,64,67,91,49,< 15,< 15,
טורעאן,15,118,140,142,167,219,150,50,< 15,< 15
טייבה,35,291,352,428,515,716,378,133,21,< 15
טירה,20,282,450,473,560,660,382,109,< 15,< 15
טירת כרמל,18,159,377,505,748,1590,985,385,67,< 15
טלמון,27,121,128,195,173,24,< 15,< 15,< 15,
טמרה,31,442,649,837,918,923,471,171,19,< 15
יאנוח-ג'ת,< 15,45,69,76,66,88,45,< 15,,
יבנאל,< 15,19,33,37,91,159,102,46,16,
יבנה,44,321,731,1114,1235,2689,1819,405,110,< 15
יד בנימין,24,62,32,137,117,57,24,< 15,< 15,
יהוד,35,234,304,652,1000,1929,1631,600,143,< 15
יפיע,< 15,147,155,210,284,329,182,54,< 15,< 15
יקיר,< 15,24,39,86,55,46,39,< 15,,
יקנעם עילית,36,216,342,1016,1077,1188,839,363,53,
ירוחם,68,196,395,396,384,445,260,83,< 15,< 15
ירושלים,1180,7790,9775,11155,13949,23202,18944,10289,2958,< 15
ירכא,< 15,117,129,154,203,204,137,57,15,
כאבול,25,213,231,285,290,295,129,39,< 15,
כאוכב אבו אל-היג'א,< 15,58,73,118,109,99,77,20,< 15,
כוכב השחר,17,37,51,68,72,85,18,< 15,< 15,
כוכב יאיר,15,153,91,187,478,792,527,67,< 15,< 15
כוכב יעקב,15,59,61,63,72,73,30,< 15,< 15,
כסיפה,< 15,41,51,54,51,52,28,< 15,< 15,
כסרא-סמיע,< 15,57,63,71,100,91,51,< 15,,
כעביה-טבאש-חג'אג'רה,< 15,38,57,60,64,64,28,< 15,< 15,
כפר אדומים,19,85,107,169,129,127,42,< 15,< 15,
כפר ברא,< 15,41,45,37,52,54,24,< 15,,
כפר האורנים,15,53,23,113,259,63,27,< 15,,< 15
כפר ורדים,19,98,68,181,383,542,399,103,25,< 15
"כפר חב""ד",17,59,125,129,146,145,84,47,< 15,
כפר יאסיף,< 15,112,190,200,270,430,241,81,< 15,< 15
כפר יונה,45,205,326,781,822,1257,821,224,24,< 15
כפר כמא,,31,49,90,121,220,125,39,< 15,
כפר כנא,77,446,506,644,685,650,310,80,< 15,
כפר מנדא,< 15,151,261,245,311,308,141,48,< 15,< 15
כפר מצר,< 15,24,26,24,57,36,< 15,< 15,,
כפר סבא,160,887,1552,3457,3245,6345,6756,2733,869,63
כפר קאסם,< 15,214,302,433,481,453,218,60,< 15,< 15
כפר קרע,18,222,324,379,379,477,217,64,< 15,< 15
כפר תבור,< 15,56,73,233,301,343,233,44,< 15,
